stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
43.291883,0,2760,-79.791904,355457,,,BEACH BV & OPPOSITE DIEPPE MEMORIAL,BEACH opposite DIEPPE MEMORIAL,0,
43.257224,0,2922,-79.874013,355454,,,BAY ST S & GEORGE ST,BAY opposite GEORGE,0,
43.254744,0,2968,-79.874992,355453,,,HUNTER ST W & BAY ST S,HUNTER at BAY,0,
43.255835,0,8900,-79.869533,355450,,,JAMES ST S & MAIN ST E,JAMES at MAIN,0,
43.273618,0,1698,-79.8616,355458,,,JAMES ST N & GUISE ST E,JAMES at GUISE,0,
43.273421,0,1699,-79.861848,355459,,,JAMES ST N & GUISE ST E,JAMES at GUISE,0,
43.224366,0,1002,-79.776155,2318,,,NASH RD S & DENTEN STREET OPP. (@ # 149),NASH opposite DENTEN,0,
43.233441,0,1005,-79.772418,2319,,,NASH RD N & KENTLEY DRIVE,NASH at KENTLEY,0,
43.239222,0,2988,-79.77109,2316,,,BARTON ST E & NASH RD N,BARTON at NASH,0,
43.22473,0,2991,-79.776203,2317,,,NASH RD S & DENTEN STREET,NASH at DENTEN,0,
43.238488,0,1008,-79.770411,2315,,,NASH RD N & BARTON ST,NASH at BARTON,0,
43.1842,0,1400,-79.902213,2312,,,MOUNTAIN TRANSIT CENTRE & UPPER JAMES ST,MOUNTAIN TRANSIT CENTRE,0,
43.184218,0,2292,-79.902992,2313,,,PRIVATE RD & UPPER JAMES ST,MOUNTAIN TRANSIT CENTRE,0,
43.217015,0,2798,-79.755979,2311,,,JONES ST & MOUNTAIN AV N,JONES at MOUNTAIN,0,
43.232704,0,2335,-79.907771,2268,,,MOHAWK RD W & BUCKINGHAM DRIVE (EAST LEG),MOHAWK at BUCKINGHAM EAST,0,
43.233554,0,2337,-79.914979,2269,,,MOHAWK RD W & BUCKINGHAM DRIVE (WEST LEG),MOHAWK at BUCKINGHAM WEST,0,
43.233736,0,2339,-79.920717,2262,,,MOHAWK RD W & #760 E MAGNOLIA DR.,At 760 MOHAWK,0,
43.233547,0,2354,-79.920624,2263,,,MOHAWK RD W & OPPOSITE #770,Opposite 770 MOHAWK,0,
43.230739,0,2361,-79.891251,2260,,,MOHAWK RD W & #261 E SOUTHLEA DR.,At 261 MOHAWK,0,
43.230824,0,2332,-79.891612,2261,,,MOHAWK RD W & #263 E SOUTHLEA DR. OPP.,At 263 MOHAWK,0,
43.232279,0,2358,-79.906651,2266,,,MOHAWK RD W & ASHTON ROAD,MOHAWK at ASHTON,0,
43.233375,0,2356,-79.914705,2267,,,MOHAWK RD W & BUCKINGHAM DR OPP. (OP.# 704),MOHAWK opposite BUCKINGHAM,0,
43.233585,0,2341,-79.926788,2264,,,MOHAWK RD W & #924 (E OF SCENIC),At 924 MOHAWK,0,
43.229389,0,1499,-79.883606,2265,,,MOHAWK RD W & AMANDA STREET (OPP.) (@# 30),MOHAWK opposite AMANDA,0,
43.255192,0,1319,-79.960079,2442,,,PLEASANT AV & SUNRISE CR,PLEASANT at SUNRISE,0,
43.253496,0,1320,-79.965914,2440,,,PLEASANT AV & EDENBRIDGE COURT,PLEASANT at EDENBRIDGE,0,
43.252159,0,1320,-79.967817,2441,,,PLEASANT AV & GREEN MEADOW WAY,PLEASANT at GREEN MEADOW,0,
43.248894,0,2845,-79.883066,2446,,,QUEEN ST S & ABERDEEN AVENUE,QUEEN at ABERDEEN,0,
43.248557,0,2834,-79.883044,2447,,,QUEEN ST S & ABERDEEN AVENUE,QUEEN at ABERDEEN,0,
43.191713,0,2130,-79.819996,2444,,,PRITCHARD RD & HIGHLAND ROAD,PRITCHARD at HIGHLAND,0,
43.235298,0,1112,-79.818501,2445,,,PROVINCE ST S & JUSTINE AVENUE,PROVINCE at JUSTINE,0,
43.256121,0,2842,-79.880141,2448,,,QUEEN ST S & CANADA STREET,QUEEN at CANADA,0,
43.252202,0,2843,-79.881726,2449,,,QUEEN ST S & CHARLTON AV W,QUEEN at CHARLTON,0,
43.260592,0,2956,-79.901716,2046,,,LONGWOOD RD S & MARION AVENUE OPP. (OP. # 86),LONGWOOD opposite MARION,0,
43.266135,0,1343,-79.895085,2047,,,MACKLIN ST N & #100 OPP. - GEORGE P. VANIER E,At 100 MACKLIN,0,
43.258715,0,2955,-79.902133,2044,,,LONGWOOD RD S & MAIN STREET,LONGWOOD at MAIN,0,
43.260561,0,2935,-79.901911,2045,,,LONGWOOD RD S & MARION AVENUE,LONGWOOD at MARION,0,
43.262872,0,2957,-79.900723,2042,,,LONGWOOD RD S & KING STREET,LONGWOOD at KING,0,
43.259609,0,1485,-79.902331,2043,,,LONGWOOD RD S & MAIN STREET,LONGWOOD at MAIN,0,
43.257018,0,2936,-79.901503,2040,,,LONGWOOD RD S & #175 S MAIN ST.(OPP. ),Opposite 175 LONGWOOD,0,
43.262682,0,2899,-79.900972,2041,,,LONGWOOD RD S & KING ST W,LONGWOOD at KING,0,
43.264588,0,1343,-79.89566,2048,,,MACKLIN ST N & CORONATION POOL & RINK (OP #60,Opposite 60 MACKLIN,0,
43.268746,0,1343,-79.893953,2049,,,MACKLIN ST N & KAY DRAGE PARK ENTRANCE,MACKLIN at KAY DRAGE PARK,0,
43.234717,0,2311,-79.878811,2839,,,UP/JAMES ST & WEMBLEY ROAD OPP. (OP. # 672),UPPER JAMES opposite WEMBLEY,0,
43.234833,0,2272,-79.879115,2838,,,UP/JAMES ST & WEMBLEY ROAD,UPPER JAMES at WEMBLEY,0,
43.228646,0,2722,-79.767501,2489_merged_941986,,,QUEENSTON RD & #770 E GREENFORD DR.,At 770 QUEENSTON,0,
43.211215,0,2286,-79.889273,2835,,,UPPER JAMES ST & STONE CHURCH RD E,UPPER JAMES at STONE CHURCH,0,
43.210848,0,2298,-79.889199,2834,,,UPPER JAMES ST & STONE CHURCH RD E,UPPER JAMES at STONE CHURCH,0,
43.194145,0,2120,-79.81947,2688,,,STONE CHURCH RD E & PRITCHARD ROAD,STONE CHURCH at PRITCHARD,0,
43.194336,0,2172,-79.819604,2689,,,STONE CHURCH RD E & PRITCHARD ROAD,STONE CHURCH at PRITCHARD,0,
43.194821,0,2120,-79.822346,2684,,,STONE CHURCH RD E & HAMILTON MT. BOWL OPP.(@# 1520,At 1520 STONE CHURCH EAST,0,
43.197946,0,2803,-79.835531,2685,,,STONE CHURCH RD E & NEBO ROAD,STONE CHURCH at NEBO,0,
43.197828,0,2152,-79.834589,2686,,,STONE CHURCH RD E & NEBO RD,STONE CHURCH opposite NEBO,0,
43.202593,0,2190,-79.855375,2687,,,STONE CHURCH RD E & NORMA JEAN AVENUE,STONE CHURCH at NORMAJEAN,0,
43.207415,0,2394,-79.87438,2680,,,STONE CHURCH RD E & BRIGADE DR OPP.,STONE CHURCH opposite BRIGADE,0,
43.196541,0,2119,-79.829688,2681,,,STONE CHURCH RD E & DARTNALL ROAD,STONE CHURCH at DARTNAL,0,
43.196753,0,2152,-79.829807,2682,,,STONE CHURCH RD E & DARTNALL ROAD,STONE CHURCH opposite DARTNALL,0,
43.209921,0,2395,-79.884984,2683,,,STONE CHURCH RD E & DICENZO DR,STONE CHURCH at DICENZO,0,
43.257787,0,,-79.919431,90,,,MAIN ST W & EMERSON ST,MAIN & EMERSON,0,
43.317227,0,2693,-79.801141,1991,,,LAKESHORE RD & JOSEPH BRANT HOSPITAL OPP.,LAKESHORE opposite JOSEPH BRANT HOSPITAL,0,
43.284911,0,1334,-79.892655,3206,,,YORK BV & GUELPH ROAD,YORK at OLD GUELPH,0,
43.217995,0,2583,-79.734962,1621,,,GREEN RD & KING STREET,GREEN at KING,0,
43.220742,0,2583,-79.733664,1620,,,GREEN RD & HIGHWAY #8,GREEN at HIGHWAY 8,0,
43.213119,0,2448,-79.793879,1627,,,GREENHILL AV & COUNTRY CLUB DRIVE,GREENHILL at COUNTRY CLUB,0,
43.3208,0,2698,-79.800479,1994,,,LAKESHORE RD & NELSON AVENUE,LAKESHORE at NELSON,0,
