route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_boarding,bikes_allowed
2970,1_merged_953839,953448,KING at HIGHWAY 8,,0,b_415333,18872,1,1
2968,1_merged_953839,953029,EASTGATE SQUARE,,1,b_415326,18864,1,1
2968,1_merged_953839,953028,EASTGATE SQUARE,,1,b_415331,18865,1,1
2968,1_merged_953839,953027,EASTGATE SQUARE,,1,b_415327,18864,1,1
2968,1_merged_953839,953026,EASTGATE SQUARE,,1,b_415334,18865,1,1
2968,1_merged_953839,953025,EASTGATE SQUARE,,1,b_415322,18864,1,1
2968,1_merged_953839,953024,EASTGATE SQUARE,,1,b_415321,18865,1,1
2968,1_merged_953839,953023,EASTGATE SQUARE,,1,b_415326,18865,1,1
2968,1_merged_953839,953022,EASTGATE SQUARE,,1,b_415328,18864,1,1
2968,1_merged_953839,953021,EASTGATE SQUARE,,1,b_415331,18864,1,1
2968,1_merged_953839,953020,EASTGATE SQUARE,,1,b_415327,18863,1,1
2908,2_merged_953837,931852,5C MEADOWLANDS,,0,a_414576,18548,1,1
2908,2_merged_953837,931853,52 HEAD STREET,,0,a_414585,18544,1,1
2908,2_merged_953837,931850,5C MEADOWLANDS,,0,a_414574,18548,1,1
2908,2_merged_953837,931851,52 HEAD STREET,,0,a_414575,18544,1,1
2908,2_merged_953837,931856,52 PIRIE at GOVERNORS,,0,a_414587,18546,1,1
2908,2_merged_953837,931857,52 PIRIE at GOVERNORS,,0,a_414581,18546,1,1
2908,2_merged_953837,931854,5C MEADOWLANDS,,0,a_414580,18548,1,1
2908,2_merged_953837,931855,52 PIRIE at GOVERNORS,,0,a_414577,18546,1,1
2938,1_merged_953839,942223,EASTGATE SQUARE,,0,b_415075,18695,1,1
2938,1_merged_953839,942222,EASTGATE SQUARE,,0,b_415083,18695,1,1
2908,2_merged_953837,931858,52 PIRIE at GOVERNORS,,0,a_414583,18546,1,1
2908,2_merged_953837,931859,52 PIRIE at GOVERNORS,,0,a_414584,18546,1,1
2938,1_merged_953839,942227,EASTGATE SQUARE,,0,b_415087,18695,1,1
2938,1_merged_953839,942226,EASTGATE SQUARE,,0,b_415077,18695,1,1
2938,1_merged_953839,942225,EASTGATE SQUARE,,0,b_415085,18695,1,1
2938,1_merged_953839,942224,EASTGATE SQUARE,,0,b_415088,18695,1,1
2955,1_merged_953839,948362,UPPER GAGE at RYMAL,,0,b_415456,18797,1,1
2904,3_merged_953836,929394,HAMILTON GO CENTRE,,1,a_414429,18521,1,1
2904,3_merged_953836,929395,HAMILTON GO CENTRE,,1,a_414430,18521,1,1
